CODGEO;LIBGEO;DATE_ARRETE;NB__voiture_rechargeable;NB_Voiture;Population_totale;Superficie;M�diane_niveau_vie;Pop_15_64_ans;Nombre_borne;Puissance
69159;PORTE DES PIERRES DORÉES;31/03/2025;179;4184;3975;13,33;27510;2463;#N/A;#N/A
69160;POULE-LES-ÉCHARMEAUX;31/03/2025;22;1300;1036;31,23;23210;612;#N/A;#N/A
69161;PROPIÈRES;31/03/2025;15;644;481;16;20760;257;#N/A;#N/A
69162;QUINCIÉ-EN-BEAUJOLAIS;31/03/2025;45;1463;1355;22,05;23660;815;#N/A;#N/A
69163;QUINCIEUX;31/03/2025;142;3805;3549;17,72;26670;2197;4;5
69164;RANCHAL;31/03/2025;9;416;318;15,14;21590;197;#N/A;#N/A
69165;RÉGNIÉ-DURETTE;31/03/2025;42;1115;1148;11,72;24530;693;#N/A;#N/A
69166;RIVERIE;31/03/2025;7;279;321;0,42;25620;199;#N/A;#N/A
69167;RIVOLET;31/03/2025;24;662;588;16,3;25220;369;#N/A;#N/A
69168;ROCHETAILLÉE-SUR-SAÔNE;31/03/2025;87;1432;1543;1,29;29240;981;2;7,36
69169;RONNO;31/03/2025;18;731;641;22,92;23420;391;#N/A;#N/A
69170;RONTALON;31/03/2025;33;1296;1164;12,67;25080;745;#N/A;#N/A
69171;SAIN-BEL;31/03/2025;76;2651;2501;3,68;24670;1635;#N/A;#N/A
69172;SALLES-ARBUISSONNAS-EN-BEAUJOLAIS;31/03/2025;32;872;763;4,35;26240;487;#N/A;#N/A
69173;SARCEY;31/03/2025;33;1112;987;9,99;27830;618;#N/A;#N/A
69174;LES SAUVAGES;31/03/2025;17;761;617;12,55;23270;383;#N/A;#N/A
69175;SAVIGNY;31/03/2025;87;2430;1975;21,42;26350;1250;#N/A;#N/A
